category1,modelname1,ViVa售價
日本商品,日本美島水肌極致逆齡霜一日專案,$2980
日本商品,【藤高今治】日本銷售第一100%純棉今治認證蜻蜓系列方巾-2入組,$790
日本商品,HARIO簡約按壓式白色調味罐240,$580
日本商品,漁季特選日本北海道干貝鮮甜組,$1480
日本商品,【開運方程式】日本鈦赫茲能量手排(養生能量石),$1100
日本商品,【JACKS】齒間刷15入-1號(SSS)三入組,$499
日本商品,【JACKS】齒間刷15入-2號(SS)三入組,$499
日本商品,【JACKS】齒間刷10入-0號(SSSS) 六入組,$959
日本商品,【EBISU】柯南6歲以上兒童牙刷六入組,$299
日本商品,【EBISU】Hello Kitty 3~6歲兒童牙刷六入組,$299
日本商品,【EBISU】口臭對策刮舌器三入組,$259
日本商品,HARIO 迷你咖啡色冷泡咖啡600ml MCPN-7CBR,$550
日本商品,HARIO TCA-5下座 / BL-TCA-5,$850
日本商品,日本朝日電器-和風造型人體/明暗感應LED燈(暖白光/電池式)(PM-L700),$599
日本商品,日本朝日電器-門窗開啟感應白光LED燈(組合/電池式)(PM-LCL01),$350
日本商品,日本朝日電器-門窗開啟感應白光LED燈(單品)(PM-LCL02),$200
日本商品,日本朝日-二合一手電筒+明暗感應LED小夜燈(可充電)(TDH-300),$499
日本商品,【HARIO】V60紅色01樹脂濾杯1~2杯/VD-01R,$210
日本商品,【HARIO】DPW-1濾網/DFN-1,$390
日本商品,【KISS YOU】輕巧極細牙刷補充-H32三入組,$329
日本商品,【JACKS】齒間刷L型10入-1號(SSS)三入組,$499
日本商品,【JACKS】齒間刷L型10入-2號(SS)三入組,$499
日本商品,【EBISU】迷你雙層植毛兒童牙刷六入組,$299
日本商品,【EBISU】TOMICA 3~6歲兒童牙刷三入組,$169
日本商品,【EBISU】TOMICA 0.5~3歲兒童牙刷三入組,$169
日本商品,【日本AQUA CUBE】CALYPSO魔法遮瑕棒(明亮肌),$429
日本商品,HARIO 紅色一夜漬野菜醃製器,$1300
日本商品,日本朝日-流線型白光 LED 自行車頭燈(黑)(DOP-HL100-BK),$500
日本商品,日本朝日電器-人體/明暗感應長型LED小夜燈(白光)(PM-L230-W),$499
日本商品,【HARIO】V60經典60咖啡壺600ml / XVD-60B,$575
日本商品,【EBISU】Hello Kitty 6歲以上兒童牙刷三入組,$169
日本商品,【EBISU】新幹線0.5~3歲兒童牙刷三入組,$169
日本商品,【EBISU】櫻桃小丸子6歲以上兒童牙刷三入組,$169
日本商品,【日本AQUA CUBE】CALYPSO魔法粉底液(明亮肌),$499
日本商品,【日本AQUA CUBE】CALYPSO魔法粉底液(自然膚),$499
日本商品,日本朝日電器-暮光LED感應玄關燈-大圓(白光)(HLH-1202DB),$899
居家生活,人因 心率智慧運動手錶搶購組,$1490
居家生活,Neatex隨身抗菌噴霧,$890
居家生活,Magic Power微米潔淨泡,$990
居家生活,法國Je t_aime有機尤加利精油防護組,$1980
居家生活,宙斯抗菌萬用防護巾,$990
居家生活,韓國熱銷waterhuhu金銀蓮蓬頭豪華組,$990
居家生活,WaterMore增壓節水過濾年終回饋組,$990
居家生活,MAGIC POWER魔術泡泡清潔霸,$990
居家生活,歐亞之星戀人密語寢具組-雙人,$1880
居家生活,AROWANA旗艦運動防爆拉鍊行李箱特惠組,$3887
居家生活,【m.s嚴選】MIT可水洗包覆型竹炭防塵口罩套-48入組,$999
居家生活,"""卓瑩光波"" 醫療用護頸 (未滅菌)X1",$1980
居家生活,Austin Shine鐵鏟傷不了不沾鈦炒鍋,$1980
居家生活,藤田防蹣抗菌天然乳膠床墊-加大,$5990
居家生活,藤田防蹣抗菌天然乳膠床墊-單人,$3990
居家生活,MAGIC POWER魔術泡沫錠,$990
居家生活,BENTLEY頂規限定版鋁框旅行箱,$9620
居家生活,特效殺菌-超強濃縮洗衣槽清潔錠,$799
居家生活,抗疫對策71折up【清檜】雙剋星組合_抗菌驅蟲萬用清潔劑+(任選:天然防蟑螂螞蟻噴劑/天然驅蚊蟲空間噴霧),$499
居家生活,日本旭川AIRFit+重磅級零重力彈力支撐床墊-雙人,$4980
居家生活,乾淨洗衣52折起!《台塑生醫》BioLead抗敏原濃縮洗衣精2kg(6瓶入),$949
居家生活,清淨海 檸檬系列環保洗手乳 4000g,$899
居家生活,【菌速淨】次氯酸水電解抗菌噴霧100ml/瓶-8入組,$1449
居家生活,【m.s嚴選】MIT可水洗包覆型竹炭防塵口罩套-6入組,$249
居家生活,無刮痕竹纖維萬用清潔油切刷,$990
居家生活,英國Assassins汽車引擎提升調節劑,$1680
居家生活,威碩-智能健康心律監控手錶,$1280
居家生活,京美能量銀纖維長效護膝絕世好禮組,$4990
居家生活,【鈦豐】台灣製抗菌鈦砧板,$1399
居家生活,京美鍺紗X型舒緩護膝超值組(4入),$3960
居家生活,無塵氏廚房光亮清潔布超值組,$990
居家生活,董至成代言魔術矽膠食物密封保鮮蓋,$790
居家生活,新潮流-雙槽神奇洗脫拖,$990
居家生活,購得樂免組裝好移動萬用折疊櫃,$1980
居家生活,神盾高滲漏結晶壁癌止漏修繕組,$790
居家生活,韓國節水過濾SPA蓮蓬頭,$399
居家生活,Love Buy加厚型真空立體壓縮袋收納袋_9件組(特大x2+大x2+中x2+小x2+抽氣筒x1),$580
居家生活,大容量景德白瓷內膽保溫杯-2入組,$1980
居家生活,京美VIVA專屬護膝護腰組,$3680
居家生活,【LIERJIA 麗爾家】3D立體PVA 大尺寸吸水擦拭巾-2入組,$449
資訊家電,一品夫人分離式熱水瓶-5L搶購組,$1980
資訊家電,勳風-深層震動筋膜槍破盤組,$1683
資訊家電,愛立淨高效殺菌居家防護淨化系統,$1980
資訊家電,德國百靈三刀頭3D水洗式電鬍刀,$1980
資訊家電,抗疫必備永不斷貨抗菌液製造機,$2980
資訊家電,一品夫人微電腦智能電鍋,$2494
資訊家電,鍋寶全營養自動調理機好健康養生組,$3990
資訊家電,瑞典LightAir第三代免濾網清淨機,$9999
資訊家電,美國Bissell 蒸氣殺菌清潔機,$1680
資訊家電,韓國進口-WINIX冠狀病毒殺手清淨機,$13800
資訊家電,法國Je t_aime有機茶樹防護精油(5ml/瓶)x6瓶,$1980
資訊家電,德國SABA路徑導航掃地機器人雙機組,$9900
資訊家電,鍋寶健康氣炸鍋減脂享美味組,$2990
資訊家電,一品夫人活力原味鍋-6L,$2990
資訊家電,一品夫人養生萃取壺暢銷組,$1327
資訊家電,Karalla 健康氣炸鍋驚喜加大超值組,$3690
資訊家電,美寧大視界42顆LED放大立燈,$2480
資訊家電,59折! 廚寶O³臭氧淨化蔬果清淨機/去污清淨機(CP-10AB),$990
資訊家電,名象 紫外線四層烘碗機 (TT-568),$4890
資訊家電,Karoli淨化精油24H全面防護組,$1680
資訊家電,Karoli香榭精靈香氛水氧機,$1980
資訊家電,德國SABA路徑導航掃地機器人,$5490
資訊家電,HELLO KITTY 水玻璃分離式馬卡龍除濕機,$1290
資訊家電,鍋寶萬用氣炸鍋減脂好健康組,$2990
資訊家電,鍋寶全營養自動調理機熱銷回饋組,$3990
資訊家電,Dyson 最強消滅甲醛清淨神器(三合一),$26900
資訊家電,聲寶3D智能全水洗電鬍刀,$1980
資訊家電,CORAL 任我行雙向語音翻譯機,$1490
資訊家電,美寧超濾UV生飲淨水器,$6880
資訊家電,【SONGEN松井】まつい雙享泡自動補水品茗茶藝機/快煮壺/咖啡機/泡茶機/養生壺(KR-1330加贈PC食品級淨水桶),$2680
資訊家電,Karoli 出蛹蝶舞幻彩香氛水氧機,$1480
資訊家電,【台灣通用】新型16吋360度立體擺頭立扇(GM-1636S),$890
資訊家電,一品夫人分離式熱水瓶-5L,$2490
資訊家電,YAMASAKI 304#不鏽鋼炊飯神器,$2970
資訊家電,簡單大師高效能防護除蹣機,$1980
資訊家電,韓國原裝-WINIX病毒殺手清淨機,$13900
資訊家電,蓋世特居家防護罩防火插座組,$1980
資訊家電,Dyson 吹風機火焰紅精裝限定版,$14600
資訊家電,Dyson 360無限淨化防護機,$14999
資訊家電,OSTER頂級隨享咖啡機活動優惠組,$8900
服裝配飾,京美竹炭銀絲纖維內褲團購組,$2458
服裝配飾,韓國熱賣耐磨大容量三用後背包,$1683
服裝配飾,凱莉珠寶華麗貴氣紅瑪瑙手鐲,$2980
服裝配飾,Shining Star 甄愛30分鑽戒,$19999
服裝配飾,尚品珠寶鍾愛GIA30分鑽戒,$29900
服裝配飾,橋星珠寶 真金真鑽 穩鑽不停鑽戒,$6600
服裝配飾,富貴傳家巨型蜜蠟大蛋面套組,$16800
服裝配飾,法國伯納珠寶腕錶大賞真鑽錶,$9620
服裝配飾,京美竹炭銀絲纖維無痕內衣特惠組,$2970
服裝配飾,85折!【CHENSON】真皮 8口袋!防盜後背包 深藍(W09023-9),$1265
服裝配飾,62折!【CHENSON】真皮 11卡一手握卡包/零錢包 黃(W00602-L),$399
服裝配飾,DMF璀燦星光18K金鑽戒,$9900
服裝配飾,法國Elegant Bear貴族小熊典藏旅行包,$2880
服裝配飾,卓瑩奈米照護背心,$4980
服裝配飾,法國BAGGLY&CO 20週年限定小牛訂製包,$2980
服裝配飾,闕蘭絹超高腰42針蠶絲內褲超值組,$1980
服裝配飾,京美能量銀纖維鍺石彈力褲,$2970
服裝配飾,闕蘭絹超高腰細緻42針蠶絲內褲超值組,$1980
服裝配飾,Shining Star 心戀鑽戒墜套組,$19888
服裝配飾,愛其華璀璨再現陶瓷真鑽腕錶,$10800
服裝配飾,ARSA 璀璨典藏真鑽腕錶,$8316
服裝配飾,京美棒女人銀纖維玉紗女褲組,$2970
服裝配飾,闕蘭絹宮廷蠶絲40針內褲組,$2980
服裝配飾,愛其華多彩絢麗薔薇真鑽腕錶,$9990
服裝配飾,Milano Moda 2020全新發表撞色牛皮限定包,$2980
服裝配飾,法國Elegant Bear錦織緹花小熊人氣包,$1980
服裝配飾,GUCCI 經典LOGO羊毛混絲流蘇大披肩,$9900
服裝配飾,愛其華璀璨滿天星山茶花真鑽腕錶,$19800
服裝配飾,愛其華耀眼茉莉真鑽腕錶,$14800
服裝配飾,C&C富貴開運千足銀手鐲,$3980
服裝配飾,【MORINO摩力諾】耐用織帶條紋平口褲-5件組,$990
服裝配飾,尚品珠寶新春歡慶GIA鑽戒,$39990
服裝配飾,尚品珠寶封礦絕品GIA粉紅鑽戒,$158000
服裝配飾,愛其華拓帕時尚真鑽珠寶腕錶,$15800
服裝配飾,62折!【CHENSON】 8卡5鈔小羊皮菱格紋長夾 黑色(W58815-3),$786
服裝配飾,62折!【1818】兩夾層5口袋輕量腰包&胸包 灰(X19030-2),$578
服裝配飾,Shining Star 傾心50分鑽戒,$49999
服裝配飾,富貴傳家頂級金琥珀珠鍊套組,$19800
服裝配飾,春天珠寶皇室典藏天然紫珍珠項鍊,$19800
服裝配飾,東方銀桃花富貴999足銀驚艷組,$3980
美容彩妝,日本美島水肌極致逆齡霜一日專案,$2980
美容彩妝,法國LUCAS MEYER超肌能無瑕晶瓷粉凝霜,$1980
美容彩妝,祛斑專家-聖卡禔亞沒黑鑽白精萃組,$1980
美容彩妝,Arenes黑曜新生奇蹟洗髮露絕版回饋,$1412
美容彩妝,夢素肌EX抗皺煥白眼霜限定組,$4980
美容彩妝,日本原裝美島水肌亮白雪肌精露,$1980
美容彩妝,法國LUCAS MEYER七日緊緻再生霜,$2280
美容彩妝,飛利浦潔淨音波震動牙刷驚爆組,$1490
美容彩妝,瑞士康緹肌緻潤澤經典不衰植萃霜,$3260
美容彩妝,韓國AGE20正宗爆水粉餅極光美肌組,$1980
美容彩妝,德國百靈Oral-B 手持高效活氧沖牙機,$3290
美容彩妝,Arenes頂級日本蜂膠防護沐浴精華,$1680
美容彩妝,【法國瑪莉家族】皇家黑蜂胜月太霜,$3960
美容彩妝,ISA KNOX白金尊寵安瓶年終回饋專案,$8800
美容彩妝,涵沛60秒撫紋搶救青春奇蹟組,$2980
美容彩妝,Arenes八倍淨膚珍珠奇肌水洗霜,$1981
美容彩妝,Arenes珍珠奇肌八倍淨膚水洗霜,$1980
美容彩妝,日象 時尚闇夜吹風機 (ZOED-3422BG),$750
美容彩妝,涵沛黑蘭鑽極致煥活逆齡霜,$3960
美容彩妝,ISA KNOX極萃緊膚肌活重生霜,$6980
美容彩妝,ISA KNOX初生肌活抗老霜專案,$5990
美容彩妝,ISA KNOX白金尊寵安瓶肌齡逆轉組,$8800
美容彩妝,韓國Pyeonan5分鐘快速便捷染髮霜,$1880
美容彩妝,【泰國A BONNE】去角質沐浴鹽精華乳3入組(任選),$279
美容彩妝,【Delocean+ 海洋萃進階】逆時超導修復面膜_1片裝,$168
美容彩妝,【JORDAN】超纖細牙刷(超軟毛)六入組,$219
美容彩妝,【JACKS】齒間刷15入-1號(SSS)三入組,$499
美容彩妝,【OPAL 澳寶】植物酵素山茶花舒緩護手霜 50g(護手霜),$119
美容彩妝,【DERMAL】茶樹控油磨砂洗面乳150g 5入組,$329
美容彩妝,日本原裝美島水肌清潤酒粕皂,$1980
美容彩妝,Miss Lola 紐西蘭全效緊緻玫瑰水乳霜回饋組,$1380
美容彩妝,百靈歐樂B 全方位電動牙刷限量組,$4980
美容彩妝,Timaru終結乾肌爆水精油沐浴露x5瓶,$1280
美容彩妝,【Hybolar】傳明酸亮白精華液 30ml,$449
美容彩妝,【3M】細滑牙線棒散裝超值分享包(500支),$499
美容彩妝,【Relove】胺基酸私密清潔凝露,$580
美容彩妝,FORTE醫生研發全能瞬效抗老精質霜,$4242
美容彩妝,歐樂B全新亮潔電動牙刷超值組,$1980
美容彩妝,德國Webner-絲柏祛班斷黑精華,$2980
美容彩妝,【台塑生醫】Dr’s Formula極潤緊俏水娃娃黑面膜(7片/盒),$359
食品保健,華陀DSM高劑量D3限量加碼組(30粒/盒)x12,$1980
食品保健,阿桐伯舒爽青梨防護口含錠(30錠/盒)x6,$2990
食品保健,李立群推薦澳洲高基能好顧醇搶購組(15錠/盒)x6盒,$6600
食品保健,HealthDay巴西綠蜂膠防疫大作戰(30顆/盒)x6盒,$2480
食品保健,【法國瑪莉家族】香檳區七彩限量蜂花粉組,$2980
食品保健,久保雅司嚴選-富士製藥D3晶球膠囊(特別回饋)(60顆/盒)x8盒,$2991
食品保健,華陀NAD+諾加因子雙層錠能量組,$2980
食品保健,DR.CHOICE全營養多效配方一口棒(80g/包)x22,$1680
食品保健,Ivenor 好油排壞油印加塑崩油(30粒/盒)x7盒,$3680
食品保健,法國瑪莉家族 24小時鮮採蜂王初乳(100週年限量組)100g/罐x2,$4980
食品保健,普濟堂鴕鳥精膠囊健步靈活組,$2380
食品保健,奧利塔純橄欖油全家健康好油組(500毫升/罐)x10,$1580
食品保健,LITHE APPLE排空淨暢蘋果果膠強效有感組(8包/盒)×5盒,$1980
食品保健,國家健字號降低空腹血糖清唐速,$3600
食品保健,南極之心100%南極磷蝦油熱銷回饋組(30粒/盒)×9盒,$2471
食品保健,89折【好神】美國Choice翼板凝脂雪花牛排8片組(200g±10g/片，2片/包),$1289
食品保健,久保雅司-100%西伯利亞沙棘果油(30顆/盒)x7盒,$2980
食品保健,"83折!【好神】鮮嫩白皙醬醃去骨雞腿排50包(100g/片,2片/包)",$2149
食品保健,【法國瑪莉家族】香檳區鮮採蜂花粉組,$2980
食品保健,華齊堂極品頭期皇帝燕窩禮盒組,$3680
食品保健,台灣綠蜂膠游離型葉黃素舌下滴劑(30g/瓶)×7,$2380
食品保健,【百年老舖和春堂】金黃柚子果乾-3入組,$480
食品保健,59折!【台塑生醫】舒暢益生菌(30包入/盒) 5盒/組,$2090
食品保健,華陀DSM高劑量800IU維他命D3加碼組(30粒/盒)x11,$1990
食品保健,【金拌麵】金門麵線(私房麻油/特製椒麻/經典油蔥)x2袋(4包/袋) 金門指定伴手禮,$376
食品保健,老媽拌麵 新裝上市 3袋免運組,$564
食品保健,73折! 每朝健康 綠茶 650mlX24入/箱,$649
食品保健,【喜笑花生】雲林元長吳啟魯黑金剛花生(160g隨手包)-3入組,$320
食品保健,漁季挪威深海極光鯖魚饗宴組(160g)/包x24,$1480
食品保健,義大利奧利塔頂級葵花油驚喜專案,$1580
食品保健,BSN311順暢益生菌(3g/包，30包/盒),$990
食品保健,【愛之味】御藜麥280ml(24入/箱),$649
食品保健,義大利Giurlani 超值老樹特級冷壓橄欖油禮盒組500mlx6瓶,$1195
食品保健,Olitalia奧利塔純橄欖油禮盒組1000mlx2瓶,$735
食品保健,長庚純正冬蟲夏草高濃度純液搶貨組（6瓶/盒)x12盒,$6666
食品保健,宮廷宴席頂級珍品二頭鮑,$3960
食品保健,【好神】名廚調配精燉台塑牛小排10包組(400g/包),$3450
食品保健,【年方十八】超纖微卡防彈蒟蒻米麵系列-5入組,$245
食品保健,女王蜂台灣荔枝蜜季末回饋專案(400g)/瓶x10,$1980
食品保健,78折!【台塑生醫】緩釋B群雙層錠(60錠/瓶) 5瓶/組,$1699
開運收藏,御藏香特級惠安水沉香立香組,$1490
開運收藏,翠福軒台灣肖楠60年存福報組,$1888
開運收藏,蘇漢輝大師-蓮座觀音香樟木雕,$39600
開運收藏,翠福軒台灣肖楠60年功德存金爐,$3980
開運收藏,曾逸騰大師-久久富貴鴻運貔貅,$19800
開運收藏,富貴傳家猛瑪象牙雙面雕淨瓶觀音,$19800
開運收藏,菩提居功德提款機,$1980
開運收藏,菩提居紫袍玉觀音賜福轉運組,$2980
開運收藏,富貴傳家絕版黃金自在觀音擺件,$9900
開運收藏,DIAMOND BAZAAR轉運納福K金套組,$1980
開運收藏,尊貴福祿壽喜七彩進財添福鈔,$2688
開運收藏,鑫香堂百年興盛御藏降神香,$1890
開運收藏,菲鈮歐-財源滾滾黃金咬錢貔貅項鍊,$2980
開運收藏,好風好水-葉峰手繪財源廣進油畫,$9900
開運收藏,鑑寶珍藏白色黃金猛瑪象牙手鐲,$29452
開運收藏,舊世王孫愛新覺羅啟貴真跡並蒂金蓮,$98000
開運收藏,承天典平安保命純銀金剛結,$1980
開運收藏,銅雕大師鄭寶成-武聖關公銅雕,$59800
開運收藏,藏烽-惠安沉無限功德香,$2980
開運收藏,好風好水-李健波手繪年年有餘油畫,$9900
開運收藏,菩提居 紫袍玉武財神恩主公,$2980
開運收藏,尊尚招財環球鈔紅包福袋,$2680
開運收藏,鑑寶珍藏稀世珍品猛瑪象牙祈願輪,$19999
開運收藏,林真邑-富貴發大財貔貅長夾套組,$1980
開運收藏,國寶大師于百齡-金箋潑墨山水,$88000
開運收藏,富貴傳家頂級金琥珀珠鍊套組,$19800
開運收藏,C&C富貴開運千足銀手鐲,$3980
開運收藏,鎮晶殿-金銀財寶旺運天然紫晶陣,$3980
開運收藏,鎮晶殿-鴻運當頭咬錢龍王玉貔貅,$6666
開運收藏,鑑寶珍藏手工加里曼丹沉香桶珠手串,$3980
開運收藏,銅雕大師鄭寶成-金鼠抱福真跡銅雕,$39800
開運收藏,富貴傳家猛瑪象牙寶瓶觀音組,$19800
開運收藏,金鉑嘉 招財迎富金曜石套組,$2980
開運收藏,菩提居財水造庫帝王鎮宅龍壁,$2980
開運收藏,富貴傳家黃金如意旺財開運琥珀組,$2980
開運收藏,C&C圓滿福氣滿天星足銀套組,$3980
開運收藏,丹麥皇家哥本哈根花神骨瓷盤回饋組,$12800
開運收藏,鑑寶珍藏蓮座觀音猛瑪象牙雕件,$19800
開運收藏,菲鈮歐-願望聖石藍虎眼手串,$3980
開運收藏,鎮晶殿-五帝通寶咬錢龍王玉貔貅,$6600
活動專區,御典堂龜鹿鴕鳥精關鍵靈活組(30粒/盒)x5盒,$1980
活動專區,京美能量銀纖維鍺石彈力褲,$2970
活動專區,Neatex隨身抗菌噴霧,$890
活動專區,Magic Power微米潔淨泡,$990
活動專區,法國Je t_aime有機尤加利精油防護組,$1980
活動專區,久保雅司嚴選-富士製藥D3晶球膠囊(特別回饋)(60顆/盒)x8盒,$2991
活動專區,華陀NAD+諾加因子雙層錠能量組,$2980
活動專區,牙醫推薦必備寶可齡抗菌沖牙機,$1980
活動專區,MAGIC POWER魔術泡泡清潔霸,$990
活動專區,瑞典LightAir第三代免濾網清淨機,$9999
活動專區,南極之心100%南極磷蝦油熱銷回饋組(30粒/盒)×9盒,$2471
活動專區,美國Bissell 蒸氣殺菌清潔機,$1680
活動專區,祛斑專家-聖卡禔亞沒黑鑽白精萃組,$1980
活動專區,法國Je t_aime有機茶樹防護精油(5ml/瓶)x6瓶,$1980
活動專區,英國Assassins汽車引擎提升調節劑,$1680
活動專區,飛利浦潔淨音波震動牙刷驚爆組,$1490
活動專區,鍋寶健康氣炸鍋減脂享美味組,$2990
活動專區,京美能量銀纖維長效護膝絕世好禮組,$4990
活動專區,Ivenor 好油排壞油印加塑崩油(30粒/盒)x7盒,$3680
活動專區,京美-X銀纖維鍺石護腰,$1980
活動專區,法國瑪莉家族 24小時鮮採蜂王初乳(100週年限量組)100g/罐x2,$4980
活動專區,卓瑩皮膚減壓墊(未滅菌) x2,$4980
活動專區,京美竹炭銀絲纖維內褲團購組,$2458
活動專區,一品夫人養生萃取壺暢銷組,$1327
活動專區,韓國熱賣耐磨大容量三用後背包,$1683
活動專區,LITHE APPLE排空淨暢蘋果果膠強效有感組(8包/盒)×5盒,$1980
活動專區,國家健字號降低空腹血糖清唐速,$3600
活動專區,Nature Tree高濃度三重玻尿酸鎖水澎潤組,$1680
活動專區,愛立淨高效殺菌居家防護淨化系統,$1980
活動專區,德國百靈三刀頭3D水洗式電鬍刀,$1980
活動專區,日本美島水肌極致逆齡霜一日專案,$2980
活動專區,鍋寶全營養自動調理機好健康養生組,$3990
活動專區,長庚純正冬蟲夏草高濃度純液搶貨組（6瓶/盒)x12盒,$6666
活動專區,HealthDay巴西綠蜂膠防疫大作戰(30顆/盒)x6盒,$2480
活動專區,宙斯抗菌萬用防護巾,$990
活動專區,德國百靈Oral-B 手持高效活氧沖牙機,$3290
活動專區,【法國瑪莉家族】皇家黑蜂胜月太霜,$3960
活動專區,Karoli香榭精靈香氛水氧機,$1980
活動專區,德國SABA路徑導航掃地機器人雙機組,$9900
活動專區,一品夫人萬能鍋加大升級超值組,$1980
